Prompt,Expected response,Test Method Type
How do I update my tax forms,"To update tax forms, log in to your employee self‑service portal and open the tax, payroll, or personal‑information section. Select the tax form you want to update, enter your changes, and submit. Confirm the update was successful. If you can’t find the form or your organization requires paper submissions, contact HR or payroll.",GeneralQuality
How do I request a compensation adjustment for someone,"Compensation adjustments usually follow a formal HR process. Review your company’s policy, gather justification such as performance results or market data, and prepare supporting documents. Submit the request through your HR or compensation system with the employee’s details and your proposed adjustment. Approvals typically come from HR, your manager, and sometimes finance or leadership. Track the request through your HR system or with HR directly.",GeneralQuality
How do I use my HSA or FSA,"HSAs and FSAs let you pay for eligible medical expenses with pre‑tax funds. Use your account’s debit card at checkout or pay out of pocket and submit a claim with receipts through your benefits portal. Check your balance regularly and review your plan’s list of eligible expenses. FSA funds usually must be used within the plan year, while HSA funds roll over.",GeneralQuality
How do I add a dependent,"To add a dependent, log in to your HR or benefits portal and go to the benefits or personal‑information section. Open the dependents or family‑information option, select “Add Dependent,” and enter the required details and documents. Submit for approval. If your organization uses a specific form or workflow, follow that process or contact HR if you can’t find the option.",GeneralQuality
What do I do if my employee has a performance issue,"If an employee has a performance issue, document specific examples and schedule a private conversation to share clear feedback and explain the impact. Listen to their perspective and identify any obstacles. Set expectations and create an action plan with timelines and support resources. Provide ongoing coaching and check‑ins. Keep records of discussions and follow‑ups, and involve HR if there’s no improvement within a reasonable period.",GeneralQuality
Show me my latest paystub,"Your latest paystub isn’t available through this channel. You can view or download it by logging in to your organization’s payroll or employee self‑service portal. If you tell me which system you use, I can guide you through accessing it or help escalate to payroll support.",GeneralQuality
How do I update my beneficiary information,"To update beneficiary information, log in to your benefits portal and open the section for life insurance, retirement plans, or beneficiary details. Select the benefit you want to update, enter the new beneficiary’s information, and save the changes. Some systems may require confirmation or supporting documents. If you can’t find the option, contact HR or your benefits administrator.",GeneralQuality
How does bereavement leave work,Bereavement leave provides paid or unpaid time off after the death of a loved one. Eligibility and duration vary by employer and often depend on your relationship to the deceased. Many companies offer 3–5 days for immediate family and less for extended family. You usually need to notify your manager or HR and may be asked for documentation such as a death certificate or obituary. Check your organization’s policy for exact details.,GeneralQuality
How does short-term disability work,"Short‑term disability provides partial income if you can’t work due to a non‑work‑related illness, injury, or medical condition. Eligibility and coverage vary but often include a waiting period before benefits start and replacement of a percentage of your pay for several weeks or months. You typically must submit medical documentation and a claim form. Benefits end once you are medically cleared to return to work. Check your company’s STD policy for specifics.",GeneralQuality
How do I request paid time off,"To request PTO, log in to your HR or employee portal and open the time‑off or leave‑request section. Select your dates, choose the leave type, add any needed notes, and submit. You’ll receive a confirmation once your request is sent, and your manager or HR will approve or follow up if more information is needed. Check your PTO balance and any policy requirements before submitting.",GeneralQuality
How do I support an employee who is struggling,"Check in with the employee privately, express concern, and give them space to share what they’re experiencing. Listen without judgment and offer available resources such as HR support or employee assistance programs. Encourage open communication and reassure them that help is available. If the situation is urgent or involves safety or mental health concerns, escalate to HR or appropriate support services. Follow up regularly to see how they’re doing.",GeneralQuality
What should I do if I feel unsafe at work,"If you are in immediate danger, remove yourself from the situation and contact emergency services. Report the issue to your manager or HR as soon as possible and document what happened, including dates, times, and witnesses. Use any confidential hotlines or reporting tools your organization provides. If you prefer anonymous reporting or need emotional support, reach out to HR or your employee assistance program.",GeneralQuality
How do I get help resolving a conflict at work,"Start by documenting the situation with clear details. If you feel comfortable, speak privately with the other person to share perspectives and try to resolve the issue. If that doesn’t work or you prefer not to address it directly, contact your manager or HR for support. Many organizations also offer employee assistance programs that provide confidential guidance.",GeneralQuality
How do I start a medical leave,"Review your organization’s medical leave policy to understand eligibility and required documents. Notify your manager or HR about your need for leave and prepare any medical documentation, such as a doctor’s note. Submit a medical leave request through your HR or leave‑management system with all required details. HR will confirm approval and provide next steps. Contact HR if you need help extending or modifying your leave.",GeneralQuality
How do I return from leave,"Inform your manager or HR of your planned return date and check whether any documentation is required, such as medical clearance. Log in to your HR system to complete any return‑from‑leave steps. Meet with your manager to review priorities and any changes during your absence. Verify that your payroll and benefits are restored correctly, and request any reboarding materials if available.",GeneralQuality
How do I check my vacation balance,"Log in to your employee self‑service or HR portal and open the time‑off or absence‑management section. Your current vacation balance should be displayed along with any pending requests or accrual details. Many systems also allow you to download or print your records. If you can’t find the information, share the name of your HR system for more specific guidance.",GeneralQuality
Am I being paid fairly compared to my level,"A compa‑ratio shows how your pay compares to the midpoint for your level. A compa‑ratio of 1.00 means you are paid at the midpoint; below 1.00 means below midpoint; above 1.00 means above. A ratio of 0.93 indicates your pay is slightly below midpoint. This may reflect factors such as tenure, experience, or performance. If you have concerns, discuss your pay with HR or your manager to understand how compensation decisions are made.",GeneralQuality
How do I approve or deny an HR request,"Log in to your HR system and go to the section for approvals or HR requests. Open the pending request, review the details, and choose to approve or deny it. You may be asked to add a comment, especially if denying the request. Submit your decision, and the requester will be notified. Steps may vary depending on your company’s HR platform.",GeneralQuality
What happens to my pay while I'm on leave,"Your pay depends on the type of leave. Paid leave provides your regular salary; unpaid leave does not. Some programs, such as short‑term disability or parental leave, may provide partial pay according to company policy or local laws. Review your organization’s leave policies for details, or share your leave type for more specific guidance.",GeneralQuality
How do I get help with tuition assistance,"Check your benefits portal for tuition assistance information, eligibility rules, and the application process. Review the policy to understand reimbursement limits, approved programs, and required documents. Contact HR or benefits support if you need clarification. Gather proof of enrollment, course details, and receipts, then submit your application through the designated portal or email and follow up as needed.",GeneralQuality
Who do I contact for confidential HR support,"Organizations typically offer confidential HR support through HR representatives, an HR helpdesk, or an employee assistance program. Check your HR portal or intranet for confidential contact options. If you’re unsure where to start or dealing with an urgent concern, reach out directly to HR or your manager for immediate assistance.",GeneralQuality
