Prompt,Category  (delete before testing),Sub-area  (delete before testing),Expected response,Test Method Type,Passing Score
How does leave impact bonuses?,Leave of Absence & PTO,Impact on rewards/pay,,CompareMeaning,70
How do I request bereavement leave?,Leave of Absence & PTO,Types of leave,,CompareMeaning,70
What's the policy for short-term disability?,Leave of Absence & PTO,Types of leave,,CompareMeaning,70
What's required when returning from medical leave?,Leave of Absence & PTO,Return to work,,CompareMeaning,70
Who do I notify when I'm back?,Leave of Absence & PTO,Return to work,,CompareMeaning,70
How do I mediate a conflict?,Manager guidance & people management,Conflict resolution,,CompareMeaning,70
My team has tensions what should I do?,Manager guidance & people management,Conflict resolution,,CompareMeaning,70
How do I have a performance conversation?,Manager guidance & people management,Difficult conversations,,CompareMeaning,70
Tips for giving tough feedback?,Manager guidance & people management,Difficult conversations,,CompareMeaning,70
What should I do during a new hire's first week?,Manager guidance & people management,Supporting new employees,,CompareMeaning,70
How do I help a new transfer settle?,Manager guidance & people management,Supporting new employees,,CompareMeaning,70
"My employee raised a concern, what do I do?",Manager guidance & people management,Employee relations issues,,CompareMeaning,70
How do I report an ER issue?,Manager guidance & people management,Employee relations issues,,CompareMeaning,70
How do I deny a PTO request professionally?,Manager guidance & people management,Approvals,,CompareMeaning,70
How do I approve a flexible schedule request?,Manager guidance & people management,Approvals,,CompareMeaning,70
How do I request remote work exception?,Manager guidance & people management,Remote exceptions,,CompareMeaning,70
What's the policy for long-term remote work?,Manager guidance & people management,Remote exceptions,,CompareMeaning,70
What medical plans can I choose?,"Benefits, Coverage, Processes",Medical/dental/vision/HSA/FSA,,CompareMeaning,70
How does HSA contribution work?,"Benefits, Coverage, Processes",Medical/dental/vision/HSA/FSA,,CompareMeaning,70
How do I add a newborn?,"Benefits, Coverage, Processes",Dependents,,CompareMeaning,70
How do I remove a dependent?,"Benefits, Coverage, Processes",Dependents,,CompareMeaning,70
Does our plan cover mental health?,"Benefits, Coverage, Processes",Insurance coverage,,CompareMeaning,70
Is my provider in-network?,"Benefits, Coverage, Processes",Insurance coverage,,CompareMeaning,70
Do we offer tuition reimbursement?,"Benefits, Coverage, Processes",Tuition assistance,,CompareMeaning,70
How do I apply for development funds?,"Benefits, Coverage, Processes",Tuition assistance,,CompareMeaning,70
Do benefits change if I transfer roles?,"Benefits, Coverage, Processes",Benefits during transfers/leave,,CompareMeaning,70
Does unpaid leave affect insurance?,"Benefits, Coverage, Processes",Benefits during transfers/leave,,CompareMeaning,70
How do I report harassment?,Sensitive/Escalation scenarios,Harassment/discrimination,,CompareMeaning,70
"I think I'm being discriminated against, help.",Sensitive/Escalation scenarios,Harassment/discrimination,,CompareMeaning,70
How do I submit a whistleblower report?,Sensitive/Escalation scenarios,Sensitive Topic,,CompareMeaning,70
"I feel unsafe at work, who do I contact?",Sensitive/Escalation scenarios,Sensitive Topic,,CompareMeaning,70
Can you tell me my coworker's pay?,Sensitive/Escalation scenarios,Confidential info requests,,CompareMeaning,70
What rating did my teammate get?,Sensitive/Escalation scenarios,Confidential info requests,,CompareMeaning,70
"I need to talk to HR urgently, how?",Sensitive/Escalation scenarios,Escalation,,CompareMeaning,70
